run_id,t,coverage,corpus_size
run_10,1.25,2738,275
run_1,1.27,2738,275
run_2,1.27,2687,265
run_3,1.27,2649,254
run_4,1.27,2788,289
run_5,1.27,2738,275
run_6,1.27,2788,289
run_7,1.27,2788,289
run_8,1.27,2788,289
run_9,1.27,2738,275
run_10,1.27,2788,289
run_1,1.28,2738,275
run_2,1.28,2738,275
run_3,1.28,2687,265
run_4,1.28,2788,289
run_5,1.28,2738,275
run_6,1.28,2788,289
run_7,1.28,2788,289
run_8,1.28,2788,289
run_9,1.28,2738,275
run_10,1.28,2788,289
run_1,1.31,2738,275
run_2,1.31,2738,275
run_3,1.31,2687,265
run_4,1.31,2788,289
run_5,1.31,2788,289
run_6,1.31,2788,289
run_7,1.31,2788,289
run_8,1.31,2788,289
run_9,1.31,2738,275
run_10,1.31,2788,289
run_1,1.33,2738,275
run_2,1.33,2738,275
run_3,1.33,2687,265
run_4,1.33,2788,289
run_5,1.33,2788,289
run_6,1.33,2845,297
run_7,1.33,2788,289
run_8,1.33,2788,289
run_9,1.33,2738,275
run_10,1.33,2788,289
run_1,1.34,2788,289
run_2,1.34,2738,275
run_3,1.34,2687,265
run_4,1.34,2788,289
run_5,1.34,2788,289
run_6,1.34,2845,297
run_7,1.34,2788,289
run_8,1.34,2788,289
run_9,1.34,2788,289
run_10,1.34,2788,289
run_1,1.35,2788,289
run_2,1.35,2738,275
run_3,1.35,2687,265
run_4,1.35,2845,297
run_5,1.35,2788,289
run_6,1.35,2845,297
run_7,1.35,2788,289
run_8,1.35,2788,289
run_9,1.35,2788,289
run_10,1.35,2788,289
run_1,1.36,2788,289
run_2,1.36,2738,275
run_3,1.36,2687,265
run_4,1.36,2845,297
run_5,1.36,2788,289
run_6,1.36,2845,297
run_7,1.36,2845,297
run_8,1.36,2845,297
run_9,1.36,2788,289
run_10,1.36,2788,289
run_1,1.42,2788,289
run_2,1.42,2738,275
run_3,1.42,2687,265
run_4,1.42,2845,297
run_5,1.42,2845,297
run_6,1.42,2845,297
run_7,1.42,2845,297
run_8,1.42,2845,297
run_9,1.42,2788,289
run_10,1.42,2845,297
run_1,1.44,2788,289
run_2,1.44,2788,289
run_3,1.44,2687,265
run_4,1.44,2845,297
run_5,1.44,2845,297
run_6,1.44,2876,304
run_7,1.44,2845,297
run_8,1.44,2845,297
run_9,1.44,2788,289
run_10,1.44,2845,297
run_1,1.45,2845,297
run_2,1.45,2788,289
run_3,1.45,2687,265
run_4,1.45,2845,297
run_5,1.45,2845,297
run_6,1.45,2876,304
run_7,1.45,2845,297
run_8,1.45,2845,297
run_9,1.45,2788,289
run_10,1.45,2845,297
run_1,1.46,2845,297
run_2,1.46,2788,289
run_3,1.46,2687,265
run_4,1.46,2876,304
run_5,1.46,2845,297
run_6,1.46,2876,304
run_7,1.46,2845,297
run_8,1.46,2845,297
run_9,1.46,2788,289
run_10,1.46,2845,297
run_1,1.47,2845,297
run_2,1.47,2788,289
run_3,1.47,2687,265
run_4,1.47,2876,304
run_5,1.47,2845,297
run_6,1.47,2876,304
run_7,1.47,2876,304
run_8,1.47,2876,304
run_9,1.47,2788,289
run_10,1.47,2845,297
run_1,1.5,2845,297
run_2,1.5,2788,289
run_3,1.5,2687,265
run_4,1.5,2876,304
run_5,1.5,2845,297
run_6,1.5,2876,304
run_7,1.5,2876,304
run_8,1.5,2876,304
run_9,1.5,2845,297
run_10,1.5,2845,297
run_1,1.53,2845,297
run_2,1.53,2845,297
run_3,1.53,2687,265
run_4,1.53,2876,304
run_5,1.53,2876,304
run_6,1.53,2876,304
run_7,1.53,2876,304
run_8,1.53,2876,304
run_9,1.53,2845,297
run_10,1.53,2876,304
run_1,1.55,2845,297
run_2,1.55,2845,297
run_3,1.55,2687,265
run_4,1.55,2876,304
run_5,1.55,2876,304
run_6,1.55,2915,309
run_7,1.55,2876,304
run_8,1.55,2876,304
run_9,1.55,2845,297
run_10,1.55,2876,304
run_1,1.56,2876,304
run_2,1.56,2845,297
run_3,1.56,2687,265
run_4,1.56,2876,304
run_5,1.56,2876,304
run_6,1.56,2915,309
run_7,1.56,2876,304
run_8,1.56,2876,304
run_9,1.56,2845,297
run_10,1.56,2876,304
run_1,1.57,2876,304
run_2,1.57,2845,297
run_3,1.57,2738,275
run_4,1.57,2876,304
run_5,1.57,2876,304
run_6,1.57,2915,309
run_7,1.57,2876,304
run_8,1.57,2876,304
run_9,1.57,2845,297
run_10,1.57,2876,304
run_1,1.58,2876,304
run_2,1.58,2845,297
run_3,1.58,2738,275
run_4,1.58,2915,309
run_5,1.58,2876,304
run_6,1.58,2915,309
run_7,1.58,2876,304
run_8,1.58,2876,304
run_9,1.58,2845,297
run_10,1.58,2876,304
run_1,1.59,2876,304
run_2,1.59,2845,297
run_3,1.59,2738,275
run_4,1.59,2915,309
run_5,1.59,2876,304
run_6,1.59,2915,309
run_7,1.59,2915,309
run_8,1.59,2876,304
run_9,1.59,2845,297
run_10,1.59,2876,304
run_1,1.6,2876,304
run_2,1.6,2845,297
run_3,1.6,2738,275
run_4,1.6,2915,309
run_5,1.6,2876,304
run_6,1.6,2915,309
run_7,1.6,2915,309
run_8,1.6,2915,309
run_9,1.6,2845,297
run_10,1.6,2876,304
run_1,1.61,2876,304
run_2,1.61,2845,297
run_3,1.61,2738,275
run_4,1.61,2915,309
run_5,1.61,2876,304
run_6,1.61,2915,309
run_7,1.61,2915,309
run_8,1.61,2915,309
run_9,1.61,2876,304
run_10,1.61,2876,304
run_1,1.63,2876,304
run_2,1.63,2876,304
run_3,1.63,2738,275
run_4,1.63,2915,309
run_5,1.63,2876,304
run_6,1.63,2915,309
run_7,1.63,2915,309
run_8,1.63,2915,309
run_9,1.63,2876,304
run_10,1.63,2876,304
run_1,1.64,2876,304
run_2,1.64,2876,304
run_3,1.64,2738,275
run_4,1.64,2915,309
run_5,1.64,2876,304
run_6,1.64,2915,309
run_7,1.64,2915,309
run_8,1.64,2915,309
run_9,1.64,2876,304
run_10,1.64,2915,309
run_1,1.66,2915,309
run_2,1.66,2876,304
run_3,1.66,2738,275
run_4,1.66,2915,309
run_5,1.66,2915,309
run_6,1.66,2915,309
run_7,1.66,2915,309
run_8,1.66,2915,309
run_9,1.66,2876,304
run_10,1.66,2915,309
run_1,1.67,2915,309
run_2,1.67,2876,304
run_3,1.67,2738,275
run_4,1.67,2915,309
run_5,1.67,2915,309
run_6,1.67,2939,316
run_7,1.67,2915,309
run_8,1.67,2915,309
run_9,1.67,2876,304
run_10,1.67,2915,309
run_1,1.7,2915,309
run_2,1.7,2876,304
run_3,1.7,2738,275
run_4,1.7,2915,309
run_5,1.7,2915,309
run_6,1.7,2939,316
run_7,1.7,2939,316
run_8,1.7,2915,309
run_9,1.7,2876,304
run_10,1.7,2915,309
run_1,1.71,2915,309
run_2,1.71,2876,304
run_3,1.71,2738,275
run_4,1.71,2915,309
run_5,1.71,2915,309
run_6,1.71,2939,316
run_7,1.71,2939,316
run_8,1.71,2939,316
run_9,1.71,2876,304
run_10,1.71,2915,309
run_1,1.73,2915,309
run_2,1.73,2915,309
run_3,1.73,2738,275
run_4,1.73,2915,309
run_5,1.73,2915,309
run_6,1.73,2939,316
run_7,1.73,2939,316
run_8,1.73,2939,316
run_9,1.73,2915,309
run_10,1.73,2915,309
run_1,1.76,2915,309
run_2,1.76,2915,309
run_3,1.76,2738,275
run_4,1.76,2915,309
run_5,1.76,2915,309
run_6,1.76,2939,316
run_7,1.76,2939,316
run_8,1.76,2939,316
run_9,1.76,2915,309
run_10,1.76,2939,316
run_1,1.77,2939,316
run_2,1.77,2915,309
run_3,1.77,2738,275
run_4,1.77,2939,316
run_5,1.77,2939,316
run_6,1.77,2939,316
run_7,1.77,2939,316
run_8,1.77,2939,316
run_9,1.77,2915,309
run_10,1.77,2939,316
run_1,1.78,2939,316
run_2,1.78,2915,309
run_3,1.78,2738,275
run_4,1.78,2939,316
run_5,1.78,2939,316
run_6,1.78,3042,332
run_7,1.78,2939,316
run_8,1.78,2939,316
run_9,1.78,2915,309
run_10,1.78,2939,316
run_1,1.81,2939,316
run_2,1.81,2915,309
run_3,1.81,2788,289
run_4,1.81,2939,316
run_5,1.81,2939,316
run_6,1.81,3042,332
run_7,1.81,2939,316
run_8,1.81,2939,316
run_9,1.81,2915,309
run_10,1.81,2939,316
run_1,1.82,2939,316
run_2,1.82,2915,309
run_3,1.82,2788,289
run_4,1.82,2939,316
run_5,1.82,2939,316
run_6,1.82,3042,332
run_7,1.82,3042,332
run_8,1.82,2939,316
run_9,1.82,2915,309
run_10,1.82,2939,316
run_1,1.84,2939,316
run_2,1.84,2915,309
run_3,1.84,2788,289
run_4,1.84,2939,316
run_5,1.84,2939,316
run_6,1.84,3042,332
run_7,1.84,3042,332
run_8,1.84,3042,332
run_9,1.84,2939,316
run_10,1.84,2939,316
run_1,1.88,3042,332
run_2,1.88,2915,309
run_3,1.88,2788,289
run_4,1.88,2939,316
run_5,1.88,3042,332
run_6,1.88,3042,332
run_7,1.88,3042,332
run_8,1.88,3042,332
run_9,1.88,2939,316
run_10,1.88,2939,316
run_1,1.89,3042,332
run_2,1.89,2915,309
run_3,1.89,2788,289
run_4,1.89,3042,332
run_5,1.89,3042,332
run_6,1.89,3059,341
run_7,1.89,3042,332
run_8,1.89,3042,332
run_9,1.89,2939,316
run_10,1.89,2939,316
