run_id,t,coverage,corpus_size
run_6,11.46,4776,23
run_7,11.46,4833,21
run_8,11.46,4801,23
run_9,11.46,4852,23
run_10,11.46,4747,20
run_1,11.52,4793,22
run_2,11.52,4830,25
run_3,11.52,4734,22
run_4,11.52,4795,21
run_5,11.52,4829,19
run_6,11.52,4776,23
run_7,11.52,4833,21
run_8,11.52,4801,23
run_9,11.52,4852,23
run_10,11.52,4747,20
run_1,11.6,4797,22
run_2,11.6,4830,25
run_3,11.6,4734,22
run_4,11.6,4795,21
run_5,11.6,4829,19
run_6,11.6,4776,23
run_7,11.6,4833,21
run_8,11.6,4801,23
run_9,11.6,4852,23
run_10,11.6,4747,20
run_1,11.72,4797,22
run_2,11.72,4830,25
run_3,11.72,4734,22
run_4,11.72,4812,21
run_5,11.72,4829,19
run_6,11.72,4776,23
run_7,11.72,4833,21
run_8,11.72,4801,23
run_9,11.72,4852,23
run_10,11.72,4747,20
run_1,11.76,4797,22
run_2,11.76,4830,25
run_3,11.76,4734,22
run_4,11.76,4812,21
run_5,11.76,4829,19
run_6,11.76,4776,23
run_7,11.76,4833,21
run_8,11.76,4801,23
run_9,11.76,4852,23
run_10,11.76,4747,20
run_1,11.77,4797,22
run_2,11.77,4830,25
run_3,11.77,4734,22
run_4,11.77,4812,21
run_5,11.77,4829,19
run_6,11.77,4776,23
run_7,11.77,4877,21
run_8,11.77,4801,23
run_9,11.77,4852,23
run_10,11.77,4747,20
run_1,11.92,4797,22
run_2,11.92,4830,25
run_3,11.92,4734,22
run_4,11.92,4812,21
run_5,11.92,4829,19
run_6,11.92,4776,23
run_7,11.92,4877,21
run_8,11.92,4801,23
run_9,11.92,4852,23
run_10,11.92,4759,20
run_1,12.21,4797,22
run_2,12.21,4830,25
run_3,12.21,4734,22
run_4,12.21,4812,21
run_5,12.21,4829,19
run_6,12.21,4776,23
run_7,12.21,4877,21
run_8,12.21,4801,23
run_9,12.21,4852,23
run_10,12.21,4759,20
run_1,12.37,4797,22
run_2,12.37,4830,25
run_3,12.37,4734,22
run_4,12.37,4812,21
run_5,12.37,4829,19
run_6,12.37,4776,23
run_7,12.37,4877,21
run_8,12.37,4801,23
run_9,12.37,4852,23
run_10,12.37,4759,20
run_1,12.51,4797,22
run_2,12.51,4830,25
run_3,12.51,4734,22
run_4,12.51,4812,21
run_5,12.51,4829,19
run_6,12.51,4776,23
run_7,12.51,4877,21
run_8,12.51,4801,23
run_9,12.51,4864,23
run_10,12.51,4759,20
run_1,12.56,4797,22
run_2,12.56,4834,25
run_3,12.56,4734,22
run_4,12.56,4812,21
run_5,12.56,4829,19
run_6,12.56,4776,23
run_7,12.56,4877,21
run_8,12.56,4801,23
run_9,12.56,4864,23
run_10,12.56,4759,20
run_1,12.57,4797,22
run_2,12.57,4834,25
run_3,12.57,4734,22
run_4,12.57,4812,21
run_5,12.57,4829,19
run_6,12.57,4776,23
run_7,12.57,4877,21
run_8,12.57,4801,23
run_9,12.57,4864,23
run_10,12.57,4759,20
run_1,12.69,4797,22
run_2,12.69,4834,25
run_3,12.69,4734,22
run_4,12.69,4832,21
run_5,12.69,4829,19
